time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric
2024-10-17 09:51:06.117026100+00:00,7,17,DTE Student,4,11,529,1567,-73.0,-200.0,0,09:51:06.117026
2024-10-17 09:51:09.149821+00:00,7,17,DTE Staff,3,11,529,1567,-74.0,-200.0,0,09:51:09.149821
2024-10-17 09:51:24.718874100+00:00,7,18,DTE Student,4,11,529,1567,-69.0,-200.0,0,09:51:24.718874
2024-10-17 09:51:27.688371700+00:00,7,18,DTE Staff,3,11,529,1567,-69.0,-200.0,0,09:51:27.688371
2024-10-17 09:51:43.468805100+00:00,7,19,DTE Student,4,11,529,1567,-73.0,-200.0,0,09:51:43.468805
2024-10-17 09:51:46.403664+00:00,7,19,DTE Staff,3,11,529,1567,-73.0,-200.0,0,09:51:46.403664
2024-10-17 09:52:01.764414100+00:00,7,20,DTE Staff,3,11,529,1567,-70.0,-200.0,0,09:52:01.764414
2024-10-17 09:52:04.782596500+00:00,7,20,DTE Student,4,11,529,1567,-70.0,-200.0,0,09:52:04.782596
2024-10-17 09:54:03.463157500+00:00,8,1,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:54:03.463157
2024-10-17 09:54:06.615076400+00:00,8,1,DTE Student,4,11,529,1749,-70.0,-200.0,0,09:54:06.615076
2024-10-17 09:54:22.079802900+00:00,8,2,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:54:22.079802
2024-10-17 09:54:25.154440+00:00,8,2,DTE Staff,3,11,529,1749,-70.0,-200.0,0,09:54:25.154440
2024-10-17 09:54:40.508980+00:00,8,3,DTE Staff,3,11,529,1749,-70.0,-200.0,0,09:54:40.508980
2024-10-17 09:54:43.501077200+00:00,8,3,DTE Student,4,11,529,1749,-70.0,-200.0,0,09:54:43.501077
2024-10-17 09:54:59.551224800+00:00,8,4,DTE Student,4,11,529,1749,-69.0,-200.0,0,09:54:59.551224
2024-10-17 09:55:02.521613300+00:00,8,4,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:55:02.521613
2024-10-17 09:55:18.601417500+00:00,8,5,DTE Staff,3,11,529,1749,-65.0,-200.0,0,09:55:18.601417
2024-10-17 09:55:21.575438200+00:00,8,5,DTE Student,4,11,529,1749,-65.0,-200.0,0,09:55:21.575438
2024-10-17 09:55:37.017453100+00:00,8,6,DTE Student,4,11,529,1749,-69.0,-200.0,0,09:55:37.017453
2024-10-17 09:55:39.931770400+00:00,8,6,DTE Staff,3,11,529,1749,-71.0,-200.0,0,09:55:39.931770
2024-10-17 09:55:55.688819400+00:00,8,7,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:55:55.688819
2024-10-17 09:55:58.774106600+00:00,8,7,DTE Staff,3,11,529,1749,-68.0,-200.0,0,09:55:58.774106
