,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,72:A7:41:9C:8E:55,11,LAUREN,5,RP116,-80,DTE IoT,2025-03-12T07:01:58.1845508Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,5,RP116,-86,DTE IoT,2025-03-12T07:22:47.3914545Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,6,RP116,-78,DTE IoT,2025-03-12T07:02:25.3212487Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,6,RP116,-85,DTE IoT,2025-03-12T07:23:11.9865842Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,7,RP116,-86,DTE IoT,2025-03-12T07:23:33.5607812Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,8,RP116,-87,DTE IoT,2025-03-12T07:23:54.9857419Z,esp/topic,1520,134
,72:A7:41:9C:8E:55,11,LAUREN,9,RP116,-87,DTE IoT,2025-03-12T07:24:22.4542154Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,1,RP117,-81,DTE Staff,2025-03-12T06:41:48.7948629Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,11,RP117,-81,DTE Staff,2025-03-12T06:47:33.6469989Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,12,RP117,-83,DTE Staff,2025-03-12T06:48:08.2900747Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,13,RP117,-80,DTE Staff,2025-03-12T06:48:41.6830265Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,14,RP117,-82,DTE Staff,2025-03-12T06:49:17.8439217Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,16,RP117,-84,DTE Staff,2025-03-12T06:50:41.7793851Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,17,RP117,-82,DTE Staff,2025-03-12T06:50:57.6392042Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,18,RP117,-84,DTE Staff,2025-03-12T06:51:32.1157499Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,19,RP117,-81,DTE Staff,2025-03-12T06:51:59.4920272Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,2,RP117,-79,DTE Staff,2025-03-12T06:42:24.7918891Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,4,RP117,-79,DTE Staff,2025-03-12T06:43:20.2453568Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,6,RP117,-82,DTE Staff,2025-03-12T06:44:25.2686877Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,9,RP117,-81,DTE Staff,2025-03-12T06:46:31.3890047Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,1,RP117,-82,DTE IoT,2025-03-12T06:41:51.4677567Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,11,RP117,-80,DTE IoT,2025-03-12T06:47:32.6890987Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,12,RP117,-82,DTE IoT,2025-03-12T06:48:05.2246337Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,13,RP117,-83,DTE IoT,2025-03-12T06:48:50.7483131Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,14,RP117,-82,DTE IoT,2025-03-12T06:49:19.4547703Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,15,RP117,-82,DTE IoT,2025-03-12T06:50:10.2364403Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,16,RP117,-82,DTE IoT,2025-03-12T06:50:38.728552Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,17,RP117,-82,DTE IoT,2025-03-12T06:51:00.707524Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,18,RP117,-84,DTE IoT,2025-03-12T06:51:35.382822Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,19,RP117,-82,DTE IoT,2025-03-12T06:52:02.5876316Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,2,RP117,-79,DTE IoT,2025-03-12T06:42:27.7170544Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,4,RP117,-80,DTE IoT,2025-03-12T06:43:23.5050473Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,6,RP117,-82,DTE IoT,2025-03-12T06:44:28.3114653Z,esp/topic,1520,299
,72:A7:41:9C:8E:55,11,LAUREN,9,RP117,-83,DTE IoT,2025-03-12T06:46:34.4798337Z,esp/topic,1520,299
,70:A7:41:DC:8E:55,11,LAUREN,9,RP48,-96,DTE Staff,2025-03-12T03:19:38.860716Z,esp/topic,1341,1368
,72:A7:41:9C:8E:55,11,LAUREN,2,RP48,-90,DTE IoT,2025-03-12T03:29:38.850563Z,esp/topic,1341,1368
,72:A7:41:9C:8E:55,11,LAUREN,9,RP48,-94,DTE IoT,2025-03-12T03:19:35.8467063Z,esp/topic,1341,1368
,70:A7:41:DC:8E:55,11,LAUREN,15,RP49,-95,DTE Staff,2025-03-12T03:13:47.0684171Z,esp/topic,1341,1567
,70:A7:41:DC:8E:55,11,LAUREN,7,RP49,-95,DTE Staff,2025-03-12T03:11:10.6497584Z,esp/topic,1341,1567
,70:A7:41:DC:8E:55,11,LAUREN,15,RP50,-94,DTE Staff,2025-03-12T03:04:48.1601953Z,esp/topic,1341,1749
,70:A7:41:DC:8E:55,11,LAUREN,1,RP92,-76,DTE Staff,2025-03-12T04:55:25.6609633Z,esp/topic,520,299
,70:A7:41:DC:8E:55,11,LAUREN,1,RP92,-83,DTE Staff,2025-03-12T04:55:43.5647781Z,esp/topic,520,299
,70:A7:41:DC:8E:55,11,LAUREN,14,RP92,-93,DTE Staff,2025-03-12T04:48:35.275082Z,esp/topic,520,299
,70:A7:41:DC:8E:55,11,LAUREN,3,RP92,-91,DTE Staff,2025-03-12T04:44:51.3010616Z,esp/topic,520,299
,72:A7:41:9C:8E:55,11,LAUREN,1,RP92,-75,DTE IoT,2025-03-12T04:55:22.642331Z,esp/topic,520,299
,72:A7:41:9C:8E:55,11,LAUREN,1,RP92,-86,DTE IoT,2025-03-12T04:55:46.5891246Z,esp/topic,520,299
,72:A7:41:9C:8E:55,11,LAUREN,10,RP92,-95,DTE IoT,2025-03-12T04:47:13.2283135Z,esp/topic,520,299
